num,date,ur
741,19921012,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-10-12
742,19921019,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-10-19
743,19921026,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-10-26
744,19921102,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-11-02
745,19921109,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-11-09
746,19921116,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-11-16
747,19921123,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-11-23
748,19921130,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-11-30
749,19921207,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-12-07
750,19921214,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-12-14
751,19921221,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-12-21
752,19921228,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1992-12-28
753,19930104,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-01-04
754,19930111,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-01-11
755,19930118,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-01-18
756,19930125,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-01-25
757,19930201,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-02-01
758,19930208,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-02-08
759,19930215,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-02-15
760,19930222,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-02-22
761,19930301,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-03-01
762,19930308,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-03-08
763,19930315,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-03-15
764,19930322,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-03-22
765,19930329,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-03-29
766,19930405,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-04-05
767,19930412,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-04-12
768,19930419,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-04-19
769,19930426,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-04-26
770,19930503,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-05-03
771,19930510,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-05-10
772,19930517,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-05-17
773,19930524,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-05-24
774,19930531,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-05-31
775,19930607,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-06-07
776,19930614,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-06-14
777,19930621,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-06-21
778,19930628,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-06-28
779,19930705,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-07-05
780,19930712,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-07-12
781,19930719,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-07-19
782,19930726,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-07-26
783,19930802,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-08-02
784,19930809,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-08-09
785,19930816,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-08-16
786,19930823,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-08-23
787,19930830,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-08-30
788,19930906,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-09-06
789,19930913,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-09-13
790,19930920,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-09-20
791,19930927,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-09-27
792,19931004,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-10-04
793,19931011,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-10-11
794,19931018,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-10-18
795,19931025,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-10-25
796,19931101,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-11-01
797,19931108,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-11-08
798,19931115,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-11-15
799,19931122,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-11-22
800,19931129,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-11-29
801,19931206,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-12-06
802,19931213,https://www.atptour.com/en/rankings/singles?rankRange=0-5000&dateWeek=1993-12-13
